2021099;09,11,17,18,20,27;15
2021098;01,10,13,18,26,32;05
2021097;03,11,12,13,25,28;12
2021096;01,07,11,14,15,26;11
2021095;08,12,17,24,27,28;13
2021094;09,11,24,25,28,33;15
2021093;05,11,15,23,28,33;03
2021092;02,07,08,10,12,31;03
2021091;04,06,16,24,26,33;16
2021090;05,06,12,14,27,28;08
2021089;01,02,07,13,23,24;12
2021088;04,12,15,16,19,26;06
2021087;02,13,16,19,23,24;04
2021086;06,08,10,14,28,29;01
2021085;05,06,07,11,14,20;02
2021084;05,07,09,11,21,28;01
2021083;04,09,11,25,28,33;04
2021082;03,06,11,13,26,32;05
2021081;01,03,05,18,22,23;01
2021080;05,08,22,23,24,29;09
2021079;01,03,10,24,28,29;13
2021078;04,06,15,26,27,31;12
2021077;08,15,17,25,27,30;10
2021076;03,09,21,23,30,32;06
2021075;12,15,16,21,22,29;01
2021074;04,05,09,14,25,27;07
2021073;01,06,18,22,24,25;08
2021072;01,09,15,16,19,21;15
2021071;01,07,24,31,32,33;08
2021070;01,05,11,15,16,29;15
2021069;06,11,18,20,23,26;05
2021068;04,14,18,24,31,32;15
2021067;01,11,19,23,25,29;09
2021066;02,06,19,26,30,33;15
2021065;01,04,08,19,29,33;16
2021064;04,06,08,15,16,18;16
2021063;04,05,06,09,23,24;09
2021062;12,13,15,20,22,25;10
2021061;04,09,12,18,20,23;01
2021060;10,11,17,20,29,30;15
2021059;01,09,11,18,32,33;14
2021058;09,11,13,18,19,28;14
2021057;05,06,09,17,25,33;16
2021056;08,21,22,23,29,32;01
2021055;03,11,12,16,22,28;10
2021054;07,13,21,22,24,31;02
2021053;07,10,14,16,24,33;16
2021052;03,04,06,19,21,30;14
2021051;08,09,10,19,27,29;15
2021050;02,09,10,16,25,28;08
2021049;04,11,13,22,25,32;01
2021048;04,15,17,22,29,32;03
2021047;03,07,13,16,24,29;01
2021046;05,09,13,21,28,33;06
2021045;01,04,14,15,17,32;02
2021044;05,07,14,17,26,28;13
2021043;02,03,17,18,23,24;01
2021042;05,09,10,22,25,27;08
2021041;02,09,18,23,26,32;14
2021040;02,06,07,24,28,29;16
2021039;02,08,21,24,29,31;13
2021038;05,07,09,16,18,27;06
2021037;13,17,19,24,26,30;12
2021036;01,02,06,11,21,26;11
2021035;12,14,18,20,26,28;11
2021034;04,10,12,18,23,25;01
2021033;02,12,13,14,31,33;06
2021032;01,05,08,15,16,30;03
2021031;06,11,21,25,28,31;07
2021030;08,09,13,27,29,31;05
2021029;08,10,15,17,22,30;12
2021028;11,16,23,26,27,33;05
2021027;05,07,09,16,20,26;08
2021026;03,05,13,19,20,25;03
2021025;06,08,14,17,18,30;11
2021024;01,04,06,10,11,18;02
2021023;02,21,22,23,27,28;11
2021022;10,15,17,25,31,32;06
2021021;04,08,17,24,28,33;13
2021020;01,03,06,07,09,11;02
2021019;12,16,17,24,28,29;08
2021018;02,08,14,23,25,32;06
2021017;09,15,18,29,32,33;02
2021016;03,08,09,13,15,18;10
2021015;06,14,16,26,28,29;07
